label,youtube_id,time_start,time_end,split,is_cc
abseiling,-3B32lodo2M,59,69,train,0
abseiling,-7kbO0v4hag,107,117,train,0
abseiling,-bwYZwnwb8E,13,23,train,0
abseiling,-Cv3NwxG_8g,87,97,train,0
abseiling,-hLv_HL6UhY,151,161,train,0
abseiling,-hwUQqFadvE,48,58,train,0
abseiling,-j9C-auQoKs,207,217,train,0
abseiling,-JNfr9HZc5w,113,123,train,0
abseiling,-o4X5Z_Isyc,85,95,train,0
abseiling,-qAC8YY5F1Q,40,50,train,0
abseiling,-Qhiiw9yJvc,825,835,train,0
abseiling,-tAjeaPhi5s,26,36,train,0
abseiling,-UAghPqLTBI,130,140,train,0
abseiling,-utJO7UasYE,122,132,train,0
abseiling,-w5zqLILMpI,163,173,train,0
abseiling,-WKCwDRp_jk,0,10,train,0
abseiling,-Z1X9B-F04Q,12,22,train,0
abseiling,-_VFi7OFbJY,64,74,train,0
abseiling,0347ZoDXyP0,95,105,train,0
abseiling,035LtPeUFTE,85,95,train,1
